id,account_id,exchange_fill_id,terminal_fill_id,exchange_order_id,symbol,side,direction,price,quantity,fee,fee_asset,exchange_position_id,terminal_position_id,is_close,realized_pnl,role,source,timestamp_ms
183,1,qt:47584791,,,JCTUSDT,BUY,SHORT,0.003012,5431.0,0.00817908,USDT,,,1,-0.059741,,exchange_history_backfill,1775285951295
184,1,qt:47585080,,,JCTUSDT,BUY,LONG,0.003025,5311.0,0.00803288,USDT,,,0,0.0,,exchange_history_backfill,1775285972062
185,1,qt:47585148,,,JCTUSDT,SELL,SHORT,0.003025,5311.0,0.00803288,USDT,,,0,0.0,,exchange_history_backfill,1775285987455
186,1,qt:47585447,,,JCTUSDT,BUY,LONG,0.003016,5432.0,0.00819145,USDT,,,0,0.0,,exchange_history_backfill,1775286010782
188,1,qt:47585828,,,JCTUSDT,BUY,SHORT,0.0030104,5432.0,0.00817624,USDT,,,1,-0.030432,,exchange_history_backfill,1775286028262
189,1,qt:47664128,,,JCTUSDT,BUY,LONG,0.00316,5034.0,0.00795371,USDT,,,0,0.0,,exchange_history_backfill,1775290433614
191,1,qt:47669953,,,JCTUSDT,BUY,SHORT,0.003212,5034.0,0.00808459,USDT,,,1,0.261768,,exchange_history_backfill,1775290563842
22,1,qt:141475224,,,MUSDT,BUY,LONG,2.6141,24.0,0.0313692,USDT,,,0,0.0,,exchange_history_backfill,1774450749739
23,1,qt:141482974,,,MUSDT,BUY,SHORT,2.76259167,24.0,0.0331511,USDT,,,1,3.5638,,exchange_history_backfill,1774450758475
41,1,qt:23718923,,,ONUSDT,SELL,SHORT,0.23429,228.0,0.02670906,USDT,,,0,0.0,,exchange_history_backfill,1774634583848
43,1,qt:23727900,,,ONUSDT,SELL,LONG,0.23101237,228.0,0.02633541,USDT,,,1,0.7473000000000001,,exchange_history_backfill,1774634632216
44,1,qt:23737836,,,ONUSDT,SELL,SHORT,0.23427,2.0,0.00023427,USDT,,,0,0.0,,exchange_history_backfill,1774634668929
45,1,qt:23737835,,,ONUSDT,SELL,SHORT,0.2343,350.0,0.04100249,USDT,,,0,0.0,,exchange_history_backfill,1774634668929
47,1,qt:23744233,,,ONUSDT,SELL,LONG,0.23629037,351.0,0.04146896,USDT,,,1,-0.69867981,,exchange_history_backfill,1774634719008
49,1,qt:23744730,,,ONUSDT,SELL,LONG,0.23606,1.0,0.00011803,USDT,,,1,-0.00176017,,exchange_history_backfill,1774634722991
52,1,qt:23747282,,,ONUSDT,BUY,LONG,0.23473,368.0,0.04319032,USDT,,,0,0.0,,exchange_history_backfill,1774634757062
54,1,qt:23752796,,,ONUSDT,BUY,SHORT,0.23666,368.0,0.04354544,USDT,,,1,0.71024,,exchange_history_backfill,1774634812693
