trade_key,time,symbol,income_type,income,direction,entry_price,exit_price,qty,notional,open_time,fee,asset,mfe,mae,account_id,backfill_completed
qt:7524458848,1775281536865,BTCUSDT,REALIZED_PNL,0.0801,SHORT,66886.7,66877.8,0.009,601.9001999999999,1775281515245,0.3009501,USDT,0.16,0.08,1,1
qt:109072539,1774444100727,CUSDT,OPEN,0.0,LONG,0.06416,0.0,265.0,17.002399999999998,1774444100727,0.0085012,USDT,0.0,-0.01,1,1
qt:109072974,1774444112482,CUSDT,REALIZED_PNL,0.03445,SHORT,0.06442,0.06429,265.0,17.03685,1774444100727,0.00851842,USDT,0.02,-0.01,1,1
qt:318052725,1773347962863,DUSKUSDT,OPEN,0.0,LONG,0.08924,0.0,203.0,18.11572,1773347962863,0.00905785,USDT,0.0,0.0,1,0
qt:319484871,1774034744256,DUSKUSDT,REALIZED_PNL,-1.87572,SHORT,0.07076,0.08,203.0,16.240000000000002,1773347962863,0.00812,USDT,0.06,-0.01,1,1
qt:323937081,1774433657059,DUSKUSDT,OPEN,0.0,LONG,0.1208,0.0,84.0,10.1472,1774433657059,0.0050736,USDT,0.0,0.0,1,0
qt:323937082,1774433657059,DUSKUSDT,OPEN,0.0,LONG,0.1208,0.0,137.0,16.5496,1774433657059,0.0082748,USDT,0.0,0.0,1,0
qt:323937083,1774433657059,DUSKUSDT,OPEN,0.0,LONG,0.1208,0.0,196.0,23.6768,1774433657059,0.0118384,USDT,0.0,-0.01,1,1
qt:323972077,1774437929513,DUSKUSDT,REALIZED_PNL,0.29967,SHORT,0.12223727,0.12151863,417.0,50.67,1774433657059,0.025336630000000002,USDT,0.29,0.0,1,1
qt:47505783,1775283533038,JCTUSDT,OPEN,0.0,LONG,0.003095,0.0,5238.0,16.21161,1775283533038,0.0081058,USDT,0.01,-0.02,1,1
qt:47509919,1775283622574,JCTUSDT,REALIZED_PNL,0.254606,SHORT,0.00319221,0.00314361,5238.0,16.47,1775283533038,0.00823309,USDT,0.12,0.08,1,1
qt:47584387,1775285927688,JCTUSDT,OPEN,0.0,LONG,0.003023,0.0,5431.0,16.417913000000002,1775285927688,0.00820895,USDT,0.0,-0.02,1,1
qt:47584791,1775285951295,JCTUSDT,REALIZED_PNL,-0.059741,SHORT,0.003001,0.003012,5431.0,16.358172,1775285927688,0.00817908,USDT,0.01,-0.02,1,1
qt:47585080,1775285972062,JCTUSDT,OPEN,0.0,LONG,0.003025,0.0,5311.0,16.065775,1775285972062,0.00803288,USDT,0.02,-0.01,1,1
qt:47585148,1775285987455,JCTUSDT,OPEN,0.0,SHORT,0.003025,0.0,5311.0,16.065775,1775285987455,0.00803288,USDT,0.01,-0.01,1,1
qt:47585447,1775286010782,JCTUSDT,OPEN,0.0,LONG,0.003016,0.0,5432.0,16.382912,1775286010782,0.00819145,USDT,0.0,-0.02,1,1
qt:47585828,1775286028262,JCTUSDT,REALIZED_PNL,-0.030432,SHORT,0.0030048,0.0030104,5432.0,16.35,1775286010782,0.00817624,USDT,-0.01,-0.09,1,1
qt:47664128,1775290433614,JCTUSDT,OPEN,0.0,LONG,0.00316,0.0,5034.0,15.90744,1775290433614,0.00795371,USDT,0.0,-0.02,1,1
qt:47669953,1775290563842,JCTUSDT,REALIZED_PNL,0.261768,SHORT,0.003264,0.003212,5034.0,16.17,1775290433614,0.00808459,USDT,0.68,0.08,1,1
qt:141475224,1774450749739,MUSDT,OPEN,0.0,LONG,2.6141,0.0,24.0,62.7384,1774450749739,0.0313692,USDT,1.53,-0.48,1,1
qt:141482974,1774450758475,MUSDT,REALIZED_PNL,3.5638,SHORT,2.91108333,2.76259167,24.0,66.3,1774450749739,0.0331511,USDT,0.22999999999999998,-1.8399999999999999,1,1
qt:23718923,1774634583848,ONUSDT,OPEN,0.0,SHORT,0.23429,0.0,228.0,53.41812,1774634583848,0.02670906,USDT,0.08,-0.09,1,1
qt:23727900,1774634632216,ONUSDT,REALIZED_PNL,0.7473000000000001,LONG,0.22773474,0.23101237,228.0,52.67,1774634583848,0.02633541,USDT,0.17,-0.36,1,1
qt:23737835,1774634668929,ONUSDT,OPEN,0.0,SHORT,0.2343,0.0,350.0,82.00500000000001,1774634668929,0.04100249,USDT,0.21,-0.17,1,1
qt:23737836,1774634668929,ONUSDT,OPEN,0.0,SHORT,0.23427,0.0,2.0,0.46854,1774634668929,0.00023427,USDT,0.0,0.0,1,0
qt:23744233,1774634719008,ONUSDT,REALIZED_PNL,-0.69867981,LONG,0.23828091,0.23629037,351.0,82.94,1774634668929,0.04146896,USDT,0.18,-0.14,1,1
qt:23744730,1774634722991,ONUSDT,REALIZED_PNL,-0.00176017,LONG,0.23782017,0.23606,1.0,0.23606,1774634583848,0.00011803,USDT,0.0,-0.01,1,1
qt:23747282,1774634757062,ONUSDT,OPEN,0.0,LONG,0.23473,0.0,368.0,86.38064,1774634757062,0.04319032,USDT,0.02,-0.05,1,1
qt:23752796,1774634812693,ONUSDT,REALIZED_PNL,0.71024,SHORT,0.23859,0.23666,368.0,87.09088,1774634757062,0.04354544,USDT,0.13,-0.08,1,1
